Master Plan Ref.,Area,Branch,Order Ref.,BP Order ID,Customer,Project,Order QTY,Delivered QTY,Structural Element,Operator,Plant ID,Batch Report ID,DN ID,QTY,Driver ID,TM ID,Loading Date,Loading Time,Mix Design,Mix Code,Slump,Concrete Temperature,Water/Cement Ratio,Main Placement Method,Additional Placement Equipement,Pumping Equipment,MP ID,Approval Remarks,DN Type,DN Status
3,0,0,69,-0.29374242479033463,0.43154402823617644,-0.6070334389089448,-1.0009759049018199,-0.7781674620664321,3,1,0,1.0139251243542198,199,-0.37056665370627667,53,9,2,621,67,12,5,0.06180970272154841,-0.07612518493594612,1,0,0,12,7,0,3
3,0,0,69,-0.29374242479033463,0.43154402823617644,-0.6070334389089448,-1.0009759049018199,-0.7383508070370112,3,2,1,-0.9866163950466958,681,-0.37056665370627667,5,4,2,672,67,12,5,0.06180970272154841,-0.07612518493594612,1,0,0,12,7,0,3
3,0,0,79,-0.08436107125374599,0.4315440282360832,-0.6070334383377637,-1.029520982848561,-0.7831445439451097,1,1,0,1.0140450182181038,214,-0.9214373086501196,0,28,2,926,68,14,8,0.06180970272154841,-0.6024907728812023,2,3,2,13,7,0,3
2,0,0,32,-1.0931985019300368,0.431544028237202,-0.6070334097787076,-1.0009759049018199,-0.753282052673044,14,2,1,-0.9869610899053622,638,-2.0231786185378056,15,20,1,641,13,43,5,0.06180970272154841,1.2397887849271956,2,3,2,13,7,0,3
2,0,0,32,-1.0931985019300368,0.431544028237202,-0.6070334097787076,-1.0009759049018199,-0.7781674620664321,14,2,1,-0.987230851099101,605,-0.37056665370627667,16,24,1,389,13,43,5,0.06180970272154841,1.2397887849271956,2,3,2,13,7,0,3
1,0,0,10,-1.5309958775065404,0.43154402823850724,-0.6070334103498887,-0.6394049175764337,-0.7731903801877544,1,2,1,-0.9878078403190426,537,0.1803040012375663,40,0,0,496,12,53,5,0.06180970272154841,2.292519960817708,1,0,0,3,7,0,3
1,0,0,10,-1.5309958775065404,0.43154402823850724,-0.6070334103498887,-0.6394049175764337,-0.6388091694634589,1,2,1,-0.9877703734865788,542,1.282045311125252,22,14,0,541,12,53,5,0.06180970272154841,2.292519960817708,1,0,0,3,7,0,3
1,0,0,10,-1.5309958775065404,0.43154402823850724,-0.6070334103498887,-0.6394049175764337,-0.39990923928693345,1,2,1,-0.9877179199211296,549,0.7311746561814092,56,2,0,596,12,53,5,0.06180970272154841,2.292519960817708,1,0,0,3,7,0,3
1,0,0,10,-1.5309958775065404,0.43154402823850724,-0.6070334103498887,-0.6394049175764337,-0.36009258425751256,1,2,1,-0.9877104265546368,550,-0.37056665370627667,36,28,0,609,12,53,5,0.06180970272154841,2.292519960817708,1,0,0,3,7,0,3
1,0,0,10,-1.5309958775065404,0.43154402823850724,-0.6070334103498887,-0.6394049175764337,-0.598992514434038,1,2,1,-0.9877628801200861,543,-0.37056665370627667,50,11,0,550,12,53,5,0.06180970272154841,2.292519960817708,1,0,0,3,7,0,3
